"Sexe"	"Prénom"	"Nom"	"Groupe"	"Département.d.élection"	"Num.circonscription"	"Commission.permanente"	"Twitter"
"M."	"Jérôme"	"Guedj"	"SRC"	"Essonne"	6	"Affaires sociales"	NA
"M."	"Jérôme"	"Lambert"	"SRC"	"Charente"	3	"Finances"	NA
"M."	"Joaquim"	"Pueyo"	"SRC"	"Orne"	1	"Défense"	"JoaquimPueyo"
"M."	"Joël"	"Giraud"	"RRDP"	"Hautes-Alpes"	2	"Affaires économiques"	NA
"Mme"	"Joëlle"	"Huillier"	"SRC"	"Isère"	10	"Affaires sociales"	"Joellehuillier"
"M."	"Jonas"	"Tahuaitu"	"UDI"	"Polynésie Française"	2	"Affaires sociales"	NA
"Mme"	"Josette"	"Pons"	"UMP"	"Var"	6	"Affaires économiques"	"josettepons"
"Mme"	"Julie"	"Sommaruga"	"SRC"	"Hauts-de-Seine"	11	"Affaires culturelles et éducation"	"JulieSOMMARUGA"
"M."	"Julien"	"Aubert"	"UMP"	"Vaucluse"	5	"Développement durable"	"JulienAubert84"
"Mme"	"Karine"	"Berger"	"SRC"	"Hautes-Alpes"	1	"Finances"	"Karine_Berger"
"Mme"	"Kheira"	"Bouziane"	"SRC"	"Côte-d'Or"	3	"Affaires sociales"	"KBouziane"
"M."	"Kléber"	"Mesquida"	"SRC"	"Hérault"	5	"Affaires économiques"	NA
"Mme"	"Laure"	"de La Raudière"	"UMP"	"Eure-et-Loir"	3	"Affaires économiques"	"lauredlr"
"Mme"	"Laurence"	"Abeille"	"Ecolo"	"Val-de-Marne"	6	"Développement durable"	"LaurenceAbeille"
"Mme"	"Laurence"	"Dumont"	"SRC"	"Calvados"	2	"Lois"	NA
"M."	"Laurent"	"Baumel"	"SRC"	"Indre-et-Loire"	4	"Finances"	"laurentbaumel"
"M."	"Laurent"	"Cathala"	"SRC"	"Val-de-Marne"	2	"Défense"	NA
"M."	"Laurent"	"Furst"	"UMP"	"Bas-Rhin"	6	"Développement durable"	NA
"M."	"Laurent"	"Grandguillaume"	"SRC"	"Côte-d'Or"	1	"Finances"	"LGRANDGUILLAUME"
"M."	"Laurent"	"Kalinowski"	"SRC"	"Moselle"	6	"Affaires étrangères"	NA
"M."	"Laurent"	"Marcangeli"	"UMP"	"Corse-du-Sud"	1	"Affaires sociales"	"lmarcangeli"
"M."	"Laurent"	"Wauquiez"	"UMP"	"Haute-Loire"	1	"Finances"	"laurentwauquiez"
"Mme"	"Linda"	"Gourjade"	"SRC"	"Tarn"	3	"Affaires sociales"	"Linda_Gourjade"
"M."	"Lionel"	"Tardy"	"UMP"	"Haute-Savoie"	2	"Affaires économiques"	"DeputeTardy"
"M."	"Lionnel"	"Luca"	"UMP"	"Alpes-Maritimes"	6	"Affaires étrangères"	"lionnelluca06"
"M."	"Luc"	"Belot"	"SRC"	"Maine-et-Loire"	1	"Affaires culturelles et éducation"	"LucBELOT"
"M."	"Luc"	"Chatel"	"UMP"	"Haute-Marne"	1	"Défense"	"LucChatel"
"Mme"	"Luce"	"Pane"	"SRC"	"Seine-Maritime"	3	"Affaires sociales"	NA
"Mme"	"Lucette"	"Lousteau"	"SRC"	"Lot-et-Garonne"	1	"Affaires culturelles et éducation"	"LucetteLousteau"
"M."	"Lucien"	"Degauchy"	"UMP"	"Oise"	5	"Défense"	NA
"M."	"Malek"	"Boutih"	"SRC"	"Essonne"	10	"Affaires culturelles et éducation"	NA
"M."	"Marc"	"Dolez"	"GDR"	"Nord"	17	"Lois"	NA
"M."	"Marc"	"Francina"	"UMP"	"Haute-Savoie"	5	"Finances"	NA
"M."	"Marc"	"Le Fur"	"UMP"	"Côtes-d'Armor"	3	"Finances"	"marclefur"
"M."	"Marc"	"Goua"	"SRC"	"Maine-et-Loire"	2	"Finances"	NA
"M."	"Marc"	"Laffineur"	"UMP"	"Maine-et-Loire"	7	"Défense"	"marclaffineur"
