"Source"	"Target"
"benoistapparu"	"claudebartolone"
"benoistapparu"	"GillesCarrez"
"benoistapparu"	"ephilippe2000"
"benoistapparu"	"damienabad"
"benoistapparu"	"cestrosi"
"benoistapparu"	"FrancoisFillon"
"benoistapparu"	"patrick_ollier"
"benoistapparu"	"lecallennec"
"benoistapparu"	"DeputeMartin"
"benoistapparu"	"fguegot"
"benoistapparu"	"jechartier"
"benoistapparu"	"DeputeTardy"
"benoistapparu"	"ECiotti"
"benoistapparu"	"valerieboyer13"
"benoistapparu"	"franckriester"
"benoistapparu"	"BernardAccoyer"
"benoistapparu"	"olivier_carre"
"benoistapparu"	"xavierbertrand"
"benoistapparu"	"Bruno_LeMaire"
"benoistapparu"	"edouardcourtial"
"benoistapparu"	"sauvadet"
"benoistapparu"	"JLBorloo"
"benoistapparu"	"DominiqueDord"
"benoistapparu"	"MauriceLeroy"
"benoistapparu"	"ThierryMARIANI"
"benoistapparu"	"jf_cope"
"benoistapparu"	"francoisbaroin"
"benoistapparu"	"DeputeARobinet"
"benoistapparu"	"warsmann"
"benoistapparu"	"lauredlr"
"benoistapparu"	"vpecresse"
"benoistapparu"	"Dbussereau"
"benoistapparu"	"LucChatel"
"benoistapparu"	"laurentwauquiez"
"benoistapparu"	"nk_m"
"bernard_debre"	"GillesCarrez"
"bernard_debre"	"xavierbertrand"
"bernard_debre"	"FrancoisFillon"
"bernard_debre"	"Dbussereau"
"bernard_debre"	"benoistapparu"
"bernard_debre"	"glarrive"
"bernard_debre"	"christian_kert"
"bernard_debre"	"franckriester"
"bernard_debre"	"jm_leguen"
"bernard_debre"	"lecallennec"
"bernard_debre"	"JCTaugourdeau"
"bernard_debre"	"jclagarde"
"bernard_debre"	"ThierryMARIANI"
"bernard_debre"	"Patrick_Balkany"
"bernard_debre"	"SophieDionBaud"
"bernard_debre"	"Philippe_Goujon"
"bernard_debre"	"rudysalles"
"bernard_debre"	"ECiotti"
"bernard_debre"	"ca_ginesy"
"bernard_debre"	"DominiqueDord"
"bernard_debre"	"DeputeTardy"
"bernard_debre"	"pelissard"
"bernard_debre"	"marclefur"
"bernard_debre"	"warsmann"
"bernard_debre"	"JCFromantin"
"bernard_debre"	"laurentwauquiez"
"bernard_debre"	"delaverpilliere"
"bernard_debre"	"DeputeARobinet"
"bernard_debre"	"edouardcourtial"
"bernard_debre"	"BernardAccoyer"
"bernard_debre"	"MORELPIERRE"
"bernard_debre"	"jechartier"
"bernard_debre"	"bernardreynes"
"bernard_debre"	"nicoleameline"
"bernard_debre"	"olivier_carre"
"bernard_debre"	"philippefolliot"
"bernard_debre"	"valerieboyer13"
"bernard_debre"	"yvesjego"
"bernard_debre"	"Michel_MENARD"
"bernard_debre"	"Bruno_LeMaire"
"bernard_debre"	"ArnaudRichard_"
